x,y,q1,q2
0.714855007529796,0.206072116955898,1.47031465034479,-2.37930528754994
0.717825698881723,0.20565381785047,1.467198259326,-2.37635302724041
0.720798444586898,0.20525037736864,1.46410696905098,-2.37339034096094
0.723773170326833,0.204861805596399,1.46104060612898,-2.3704173723046
0.72674980173354,0.204488112248022,1.45799899670316,-2.36743426329943
0.729728264391389,0.204129306665823,1.4549819665336,-2.36444115442083
0.732708483838968,0.203785397819921,1.45198934107729,-2.36143818460432
0.735690385570946,0.203456394308022,1.44902094556512,-2.35842549125858
0.738673895039935,0.203142304355195,1.44607660507602,-2.3554032102786
0.741658937658354,0.202843135813672,1.44315614460811,-2.35237147605928
0.744645438800293,0.202558896162653,1.4402593891473,-2.34933042150899
0.747633323803379,0.202289592508112,1.43738616373299,-2.34628017806354
0.750622517970643,0.202035231582629,1.43453629352128,-2.34322087570015
0.753612946572385,0.201795819745211,1.43170960384557,-2.34015264295171
0.756604534848047,0.201571362981144,1.42890592027471,-2.33707560692107
0.759597208008079,0.201361866901834,1.42612506866865,-2.33398989329555
0.762590891235805,0.201167336744672,1.42336687523189,-2.33089562636147
0.765585509689302,0.200987777372903,1.42063116656446,-2.3277929290189
0.768580988503264,0.200823193275501,1.41791776971085,-2.32468192279632
0.771577252790878,0.200673588567059,1.41522651220669,-2.32156272786554
0.774574227645691,0.200538966987689,1.41255722212335,-2.31843546305657
0.777571838143489,0.200419331902922,1.40990972811055,-2.31530024587253
0.780570009344165,0.20031468630363,1.40728385943697,-2.31215719250465
0.783568666293596,0.200225032805946,1.40467944602895,-2.30900641784728
0.786567734025514,0.200150373651204,1.40209631850737,-2.30584803551291
0.789567137563381,0.200090710705878,1.39953430822271,-2.30268215784719
0.792566801922266,0.20004604546154,1.39699324728838,-2.29950889594397
0.795566652110715,0.200016379034817,1.39447296861239,-2.29632835966031
0.798566613132631,0.200001712167369,1.39197330592739,-2.29314065763148
0.801566609989144,0.200002045225868,1.38949409381912,-2.28994589728594
0.804566567680489,0.200017378201985,1.38703516775332,-2.28674418486031
0.80756641120788,0.200047710712399,1.38459636410126,-2.28353562541419
0.810566065575384,0.200093041998797,1.38217752016373,-2.2803203228451
0.8135654557918,0.200153370927901,1.37977847419375,-2.27709837990326
0.816564506872527,0.200228695991489,1.3773990654179,-2.27386989820629
0.819563143841445,0.200319015306439,1.37503913405639,-2.27063497825397
0.822561291732786,0.200424326614773,1.37269852134193,-2.26739371944275
0.825558875593009,0.200544627283714,1.3703770695373,-2.26414622008039
0.828555820482673,0.200679914305752,1.3680746219519,-2.26089257740036
0.831552051478312,0.200830184298717,1.36579102295713,-2.25763288757621
0.834547493674308,0.200995433505868,1.36352611800067,-2.25436724573589
0.837542072184761,0.201175657795983,1.36127975361978,-2.25109574597593
0.840535712145365,0.201370852663464,1.35905177745361,-2.24781848137556
0.843528338715276,0.20158101322845,1.35684203825454,-2.24453554401069
0.846519877078987,0.201806134236938,1.35465038589857,-2.24124702496786
0.849510252448194,0.202046210060914,1.3524766713949,-2.23795301435799
0.852499390063668,0.202301234698496,1.35032074689456,-2.23465360133012
0.855487215197125,0.202571201774079,1.34818246569836,-2.23134887408499
0.858473653153092,0.202856104538503,1.34606168226389,-2.22803891988852
0.861458629270775,0.203155935869211,1.34395825221192,-2.22472382508519
0.864442068925928,0.203470688270437,1.34187203233198,-2.22140367511127
0.867423897532714,0.203800353873387,1.33980288058725,-2.21807855450798
0.870404040545573,0.204144924436439,1.33775065611885,-2.21474854693451
0.873382423461086,0.204504391345345,1.3357152192494,-2.21141373518093
0.876358971819834,0.204878745613453,1.33369643148606,-2.20807420118096
0.879333611208263,0.205267977881924,1.33169415552289,-2.20473002602466
0.882306267260545,0.205672078419972,1.32970825524272,-2.20138128997096
0.885276865660431,0.206091037125106,1.32773859571844,-2.19802807246009
0.888245332143118,0.206524843523378,1.32578504321382,-2.19467045212587
0.891211592497097,0.206973486769653,1.32384746518375,-2.19130850680791
0.894175572566014,0.207436955647871,1.32192573027411,-2.18794231356363
0.897137198250522,0.207915238571335,1.32001970832114,-2.18457194868023
0.900096395510133,0.208408323582998,1.31812927035037,-2.18119748768649
0.903053090365069,0.208916198355759,1.31625428857516,-2.17781900536443
0.906007208898114,0.209438850192775,1.31439463639488,-2.17443657576089
0.908958677256458,0.209976266027778,1.31255018839262,-2.17105027219898
0.911907421653546,0.210528432425401,1.31072082033266,-2.16766016728936
0.914853368370919,0.21109533558151,1.30890640915752,-2.16426633294146
0.917796443760066,0.211676961323559,1.30710683298476,-2.16086884037453
0.920736574244255,0.212273295110932,1.30532197110339,-2.15746776012859
0.923673686320375,0.212884322035317,1.30355170397007,-2.15406316207526
0.926607706560779,0.213510026821072,1.30179591320496,-2.15065511542846
0.929538561615112,0.21415039382561,1.30005448158743,-2.14724368875498
0.932466178212153,0.21480540703979,1.29832729305134,-2.14382894998495
0.935390483161637,0.215475050088315,1.29661423268027,-2.14041096642218
0.938311403356094,0.216159306230143,1.29491518670244,-2.13698980475439
0.941228865772671,0.216858158358908,1.2932300424854,-2.1335655310633
0.944142797474959,0.217571589003341,1.29155868853059,-2.13013821083461
0.947053125614817,0.218299580327715,1.28990101446766,-2.12670790896789
0.949959777434194,0.219042114132283,1.28825691104867,-2.12327468978635
0.952862680266946,0.21979917185374,1.28662627014207,-2.11983861704642
0.955761761540653,0.220570734565683,1.28500898472655,-2.11639975394733
0.958656948778433,0.221356782979082,1.2834049488848,-2.11295816314053
0.961548169600758,0.222157297442769,1.28181405779702,-2.10951390673894
0.964435351727256,0.222972257943924,1.28023620773444,-2.10606704632618
0.967318422978526,0.223801644108577,1.2786712960526,-2.10261764296564
0.970197311277936,0.224645435202117,1.27711922118465,-2.09916575720948
0.973071944653428,0.225503610129811,1.27557988263441,-2.09571144910746
0.975942251239318,0.226376147437329,1.27405318096948,-2.09225477821568
0.978808159278091,0.227263025311286,1.27253901781416,-2.08879580360532
0.981669597122195,0.22816422157978,1.27103729584233,-2.08533458387111
0.984526493235832,0.229079713712951,1.26954791877031,-2.08187117713979
0.98737877619675,0.230009478823544,1.26807079134956,-2.0784056410785
0.990226374698021,0.230953493667479,1.26660581935939,-2.07493803290297
0.993069217549833,0.231911734644435,1.26515290959963,-2.0714684093857
0.995907233681262,0.232884177798436,1.26371196988318,-2.067996826864
